tsne-2d-one,tsne-2d-two,cluster
15.098963,-8.603017,2
22.466715,-12.419125,2
34.304787,-7.2707567,2
-5.497785,-1.5184673,2
-31.455042,-0.40254113,1
2.2413516,27.004656,3
-32.45144,2.734613,1
-24.229763,-13.935129,1
-38.131557,-23.378174,1
-8.959388,-22.20503,2
-11.580787,16.534004,3
-19.455055,-13.067511,1
-32.218094,-17.775219,1
56.428097,5.00142,0
-22.7785,-5.7584534,1
76.093445,0.8250448,0
58.87951,9.571998,0
43.234177,5.464194,0
-15.296151,15.437642,3
56.04352,17.195572,0
-46.69165,-13.345383,4
44.856506,-1.6265935,0
-70.03149,9.086643,4
14.005075,16.9056,3
-30.644068,22.371927,1
-17.296768,-27.369543,2
36.383858,18.69101,2
43.527298,21.54392,0
35.26165,13.7258415,2
-32.8688,-5.670461,1
-32.82553,-27.434656,2
-33.011227,-12.511702,1
3.7216446,-14.215273,2
-62.02209,-8.169273,4
-6.6100583,-27.788023,1
14.698329,24.869417,3
31.993233,-3.8500657,0
-20.67501,-11.294708,1
-20.861835,15.026035,1
-41.875412,-3.6400328,4
-5.6663165,20.788458,1
-20.057716,-21.979445,1
-31.627634,-1.262119,1
-33.20084,25.766365,1
23.49642,-19.998604,0
-44.92492,-20.330814,1
-1.2745657,-21.505173,2
-6.2826953,17.582682,3
55.036266,14.487127,0
-49.98812,-9.043441,4
36.23248,1.0721693,0
-10.718072,-4.2090197,2
-34.222557,-25.022522,1
0.6906121,-38.385933,2
35.11757,-0.52540934,0
25.068508,-30.504126,2
-47.384117,-13.511518,1
-46.53472,0.9598362,4
43.288437,6.7763886,0
1.837766,-26.573902,2
-12.884398,-11.346062,2
-44.198944,23.38669,1
-20.445305,-8.864447,1
30.37599,-28.49915,2
63.404797,10.792459,0
13.788726,-14.851902,3
-21.201794,-21.538084,2
-59.538204,-6.1982656,4
-54.813454,-1.2704797,4
-57.499123,-1.138623,4
55.46077,14.098024,0
-36.13963,-26.922638,2
-15.316506,-8.091215,1
-19.626232,8.36109,3
13.215024,21.165684,3
-33.614346,3.3484805,1
-33.62108,28.908022,1
-22.48113,24.22312,1
14.790614,26.506437,3
-19.004095,7.408058,1
32.46083,-19.772842,3
-40.804695,-15.460163,1
-4.657697,-9.998489,2
49.898865,5.236403,0
-5.113909,-7.8408856,2
-29.97223,-1.7504483,1
-17.27311,16.033846,1
9.1260395,9.844949,2
48.8538,12.871008,0
28.819574,1.0428915,0
-72.866295,-13.435871,4
-17.202711,9.966506,3
-17.469572,-24.925625,1
-5.0786023,8.143062,3
38.87307,-2.5021522,0
3.2282782,36.01526,3
43.61052,3.9583914,0
-39.133045,3.4493487,1
-13.018455,9.832131,3
25.426926,-4.37681,2
58.773403,15.248141,0
-22.733618,-12.69555,1
-8.721407,20.450523,3
-65.76909,3.2192225,4
-50.808308,-15.994906,1
3.201569,8.937594,3
-47.09573,15.501299,1
-3.5953863,38.74641,3
-3.6880183,-14.78893,2
-34.219494,-30.171072,2
15.171562,1.6761811,3
-28.501047,-16.923775,1
25.612436,-2.4402819,0
12.932399,-30.26857,2
-68.03659,-9.024947,4
-25.997787,16.650934,1
56.251022,17.061605,0
34.996353,1.3957582,0
31.971952,-17.21189,0
11.152533,19.571142,3
-9.184909,-18.187239,2
31.31325,6.822484,2
-8.771119,-23.854893,2
-57.65698,8.415112,1
-66.60044,8.678881,4
57.70278,18.119074,0
-33.732307,-8.211526,1
40.26311,-4.176272,3
57.508553,6.8371086,0
-51.03184,-9.312146,4
-23.451008,-2.989482,1
14.14562,23.260777,3
18.472225,-9.351866,2
-36.110878,18.771147,1
-35.80571,-27.004608,2
-12.94551,-2.3469398,1
60.321056,4.63,0
-4.5637116,-8.570369,2
-12.017445,16.880926,3
-4.6533146,-10.109777,2
40.673065,2.0343518,0
-44.680855,23.398579,1
24.992422,-1.064509,2
-57.271286,8.921792,4
1.0934734,-0.3601579,2
-14.089797,-11.390932,2
13.6969185,27.63767,3
5.01692,5.706009,3
31.891155,18.953775,0
4.9163404,-8.096296,3
-39.54197,19.364708,1
31.970434,-17.38042,0
31.323814,17.481321,0
-63.180077,-9.2975645,4
-42.589703,23.19202,1
-35.310738,-23.996483,1
70.52786,16.267227,0
23.393543,-2.7041457,2
-4.734123,11.904946,3
58.182976,17.18399,0
15.03284,20.760342,3
-19.650986,2.7945876,1
44.321648,4.871781,0
-21.26704,-23.151829,1
-29.150742,-1.7889129,1
-54.63895,-4.328591,4
10.46819,5.857037,3
57.470043,16.5391,0
41.711807,5.8165884,0
30.558117,-14.260848,2
-41.730644,-19.599634,1
36.439365,-2.9291577,0
9.81598,26.169365,3
-57.84772,-12.761821,4
-67.22572,-9.273315,4
-60.87474,-9.736508,4
12.805012,10.493319,3
59.103115,11.458677,0
26.04472,-31.566683,2
5.317404,-11.607766,2
-39.770504,-5.968258,1
-31.934065,-5.813294,1
-35.721024,-11.704652,1
-45.417503,-18.26108,1
-43.593323,6.1714225,1
-27.933249,-1.675501,1
36.259483,16.703344,0
-32.774113,-3.4680862,1
-9.272304,-11.691544,2
-14.2545,-8.034299,2
-52.79934,1.1695226,4
-5.6293573,-2.5866914,1
-2.7189677,-3.469211,2
-20.672815,-23.13263,1
-40.05909,5.151272,1
15.601051,-19.057512,2
15.591705,27.445894,3
-42.24842,-27.325016,1
-70.582,0.81829756,4
-34.381992,-4.497845,1
-16.640482,-3.4148276,3
40.422462,15.041989,0
16.268051,28.412798,3
-2.009697,20.123287,3
-22.336227,17.06865,1
-49.95674,-6.93476,4
26.635654,-39.245525,2
76.19949,-0.45009333,0
39.580452,0.7952505,0
-9.93224,-18.809309,2
-33.160446,24.547426,1
-57.343327,13.951083,4
-12.932881,-11.729462,2
-42.433037,-7.7359624,1
18.180609,-20.271803,2
57.546535,6.9681206,0
-24.874523,-3.6184633,1
-3.6250997,-8.32747,2
-7.225704,13.459013,3
-27.136066,-16.88405,1
38.450897,-4.627564,0
76.371475,-0.18216953,0
-61.436478,7.963319,4
59.18437,9.376449,0
17.46776,-23.497843,2
-61.780563,5.2960386,4
-56.321396,-6.3483567,4
-58.45292,-6.1853456,4
-16.076546,17.715425,3
9.904453,23.841505,3
-23.730635,24.015232,1
-0.829174,-23.056524,2
-2.8769789,2.9112198,2
51.618683,-6.803041,3
0.13074367,-7.9735837,2
43.40865,6.8216615,0
-42.91972,-18.57666,1
-13.302419,-10.086536,1
-19.911304,-19.79159,1
48.316986,6.766693,0
-18.396729,-10.843318,2
52.04249,-2.0487127,0
-49.456226,-11.151512,4
56.057526,-4.521306,0
-44.065468,-10.617036,1
0.6000989,-2.9101093,2
12.8309145,-15.432617,2
2.2264338,-4.407195,3
1.7897257,-26.399395,2
-1.8296365,-25.985899,2
15.436721,-34.784973,2
-73.93461,-3.3423293,4
42.88515,-1.198814,0
-10.564651,1.5159672,1
-7.3208084,-22.215338,2
14.482068,-21.364798,2
47.750668,23.922216,0
-49.41171,-9.337416,1
-43.888798,-18.077597,1
-53.435154,-9.861666,4
39.31839,3.9248579,0
-15.70801,-13.626078,2
21.86759,28.119036,3
43.561874,-13.3180275,3
-43.094093,-2.3344665,4
-5.22106,11.026532,1
-6.2583995,-13.116071,2
-22.508324,7.065421,1
42.03854,15.173415,0
4.1720233,0.27636102,3
49.70924,7.862894,0
-60.752438,3.9162972,4
-6.466429,26.224396,3
45.025394,-4.3446336,3
56.875423,-1.6447484,0
-32.498383,-8.784628,1
33.155968,7.416764,0
43.555958,-7.116324,3
10.253317,-41.164253,2
-13.528041,29.076365,3
-8.508019,-13.046089,2
-14.41854,6.485075,3
-21.152943,32.105915,3
-20.000477,-26.915903,2
26.548977,2.9625974,2
-22.783792,23.337542,1
-51.84317,0.6123881,4
-28.707558,36.793625,1
-27.247404,14.431237,1
22.459923,5.6763716,2
15.305056,-44.191643,2
-0.012664577,-4.6661043,3
-58.040604,-20.703878,4
